pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
3.4363223e-09,0.15148303,4.6281843,-59.67238,20.123365,-29.114807,-27.306587,9.683936,-34.26908,18.14228,3.0257635,-8.333568,14.449699,8.207482,0.45337224,0.6802938,0.8830209,1.1441365,1.2598057,1.4163055,1.9230334,2.6349068,0.25,0.24517111,0.0,113.93814
3.8567847e-09,0.16910048,3.6028335,-61.05965,19.722372,-28.634377,-30.646269,6.4031544,-36.79449,16.650143,9.137769,-11.2998705,9.147474,2.3610444,0.4670016,0.6706694,0.89570755,1.1473007,1.2622089,1.4031429,1.9016647,2.6293008,0.255,0.2644663,0.0,113.93814
8.2351365e-10,0.105931856,4.142229,-63.336456,20.602785,-28.538034,-28.697329,6.3888454,-43.298702,12.350639,3.4797866,-17.323633,5.6366615,-2.9664972,0.476746,0.64288646,0.8872893,1.1278669,1.2659799,1.3641229,1.7890064,2.6215208,0.26,0.26749864,0.0,113.93814
2.1946283e-09,0.13450198,4.7670226,-64.486534,15.945595,-28.868967,-22.928717,7.5926213,-46.26257,7.888305,-0.81616145,-16.488136,3.5960186,-6.8344493,0.47460726,0.627388,0.8906846,1.1331097,1.2886479,1.3768762,1.8745197,2.6422145,0.25000003,0.27585354,0.0,113.93814
2.0137823e-09,0.1289224,8.101488,-63.18334,17.551088,-27.363028,-17.659971,11.817776,-42.603313,6.8150725,-11.464627,-15.651624,7.235518,-4.213143,0.4500134,0.6162579,0.867706,1.1073078,1.2836281,1.3938457,1.8635879,2.6408608,0.22083335,0.3026117,0.0,113.93814
2.5348263e-09,0.15908945,10.007684,-62.01195,14.981316,-27.237513,-19.437874,8.347499,-34.31184,14.775815,-6.0311446,-11.86716,9.069419,4.4794974,0.4272815,0.6295069,0.8501491,1.1060241,1.2723008,1.4291067,1.9868876,2.648731,0.19416668,0.3493112,0.0,113.93814
4.4569997e-09,0.17686038,11.687809,-60.775517,17.207825,-27.783773,-26.48285,6.7962303,-31.087639,19.598204,-1.1503501,-12.821248,8.958068,10.5831,0.4047562,0.6375678,0.82204694,1.0973339,1.2507919,1.4312402,1.9363009,2.6474345,0.18333334,0.38507602,0.0,113.93814
1.01295425e-08,0.2339613,10.010743,-60.36977,16.922516,-32.13448,-28.731468,1.5560694,-34.994347,21.920412,4.75068,-11.924808,7.601776,12.179165,0.40145302,0.64800423,0.83359337,1.1145009,1.2560934,1.4233752,1.9190483,2.6279814,0.19583333,0.341607,0.0,113.93814
1.0093891e-08,0.23298077,8.877193,-60.023647,19.041021,-33.87831,-30.872149,1.6123868,-37.15738,20.23294,3.3578453,-14.824733,7.9975853,6.509709,0.40910244,0.66029006,0.8440458,1.1304451,1.2752846,1.4198507,1.927091,2.6317155,0.20333333,0.3089892,0.0,113.93814
7.018984e-09,0.19443315,8.215822,-61.342987,18.376585,-35.752583,-29.079498,0.65622216,-36.30006,19.775597,0.78963083,-15.1623,11.236568,7.242129,0.4080962,0.66275793,0.8470177,1.1225457,1.2934774,1.4035606,1.9151806,2.617852,0.20083334,0.28501612,0.0,113.93814
1.1009436e-08,0.21089236,8.504231,-61.294525,15.418906,-34.092266,-29.470854,1.8404242,-34.752502,20.176588,1.0872159,-15.881916,15.801872,9.689273,0.41254136,0.66480464,0.8298852,1.1461729,1.3092641,1.4618722,2.0401075,2.6420422,0.19,0.30289418,0.0,113.93814
